0,484.3991,448.8873,1826.669,-31.67353783,-29.59088299,169.0412505
0.1,492.1057,443.1866,1821.027,-28.86549951,-26.9840633,164.9394865
0.2,502.171,421.3216,1805.067,-22.84345825,-22.00036545,161.2188791
0.3,521.3851,394.4854,1777.94,-17.54475067,-17.54954292,160.7772538
0.4,552.0671,372.2038,1742.809,-14.49219214,-16.11690354,160.4651864
0.5,585.4449,354.1223,1709.254,-10.1495593,-12.8746882,158.1354151
0.6,619.777,345.0562,1679.435,-7.57806277,-9.420495533,158.0965055
0.7,647.8071,342.846,1646.753,-7.074604663,-8.093574488,156.8848592
0.8,672.5236,343.647,1610.484,-8.506410669,-8.718523982,157.1414304
0.9,692.2809,346.0646,1575.217,-10.67739423,-9.217621473,159.0741332
1,713.9199,348.3132,1545.101,-13.78698223,-10.65361127,163.9829721
1.1,739.4244,347.9455,1521.322,-15.3759892,-10.32791129,168.8615405
1.2,766.8851,342.2702,1502.408,-15.59627599,-10.05201222,172.1598692
1.3,794.8152,330.1826,1487.257,-14.69225284,-9.860482723,175.0312629
1.4,818.22,316.7581,1475.302,-14.08764585,-10.28735856,177.5253053
1.5,833.7778,303.3955,1467.609,-12.87218882,-10.46321627,179.1467565
1.6,838.8797,291.8582,1469.881,-10.94148203,-10.20389207,-178.7354594
1.7,832.3466,286.8726,1486.942,-9.711816682,-10.16788366,-176.0705795
1.8,810.6544,289.6302,1519.392,-10.00530446,-12.37281006,-174.8679725
1.9,772.4921,300.4716,1559.043,-11.79023735,-17.12819554,-178.6079524
2,727.332,314.3361,1602.899,-12.12976391,-22.00304003,176.0959631
2.1,689.0469,327.963,1647.601,-12.21587397,-24.85336236,173.8682711
2.2,657.0844,338.3684,1688.57,-12.14357419,-26.52980106,172.6940879
2.3,635.7715,341.0744,1723.228,-13.34783377,-28.12483876,174.4800568
2.4,621.8802,332.9505,1754.477,-13.85903918,-29.28535944,176.8875177
2.5,609.3801,319.1197,1778.789,-12.81241252,-29.47220872,177.2492528
2.6,595.8434,307.5927,1789.648,-12.20109048,-30.89802477,175.2819021
2.7,586.3565,296.347,1789.873,-10.97496237,-31.3475472,173.1862357
2.8,582.5785,288.3766,1783.264,-9.670799703,-31.00260071,169.9170165
2.9,586.6703,286.1719,1771.551,-9.585218172,-29.67107077,167.5321616
3,600.3834,289.1285,1758.406,-11.08986919,-27.77406093,167.5171588
3.1,616.7377,294.8285,1745.454,-12.29227465,-24.91835987,168.3058248
3.2,633.7784,298.4193,1742.452,-12.07756042,-21.53641315,170.2024273
3.3,650.2886,307.609,1752.127,-12.52149177,-16.41427913,174.1354183
3.4,669.3196,326.2983,1760.169,-18.78275029,-15.27872511,-174.789345
3.5,677.3709,347.1276,1765.42,-23.63789519,-14.29871983,-169.8839444
3.6,673.5771,360.101,1767.844,-25.73055961,-13.4888792,-164.6769631
3.7,652.1547,365.0635,1781.049,-25.50497113,-14.33434071,-165.6041476
3.8,622.6089,370.6302,1818.843,-24.45980183,-16.34709249,-171.3714703
3.9,602.6494,382.4691,1861.063,-28.25617038,-17.56197634,-170.5424731
4,587.5497,398.7231,1902.558,-32.6385126,-18.27501603,-169.191533
