joint_name,joint_type,joint_position_unit,joint_speed_unit,joint_position_limit_min,joint_position_limit_max,joint_position_limit_span,joint_velocity_limit,joint_effort_limit,min_position_in_path,max_position_in_path,position_span_in_path,min_margin_to_lower_limit,min_margin_to_upper_limit,path_within_position_limits,path_min_required_joint_speed,path_max_required_joint_speed,path_average_required_joint_speed,path_median_required_joint_speed,path_p95_required_joint_speed,path_rms_required_joint_speed,segment_count,path_duration_sec
base.stp_base_to_shoulder,revolute,rad,rad/s,-1.57,1.57,3.14,1000000.00,1000000.00,-0.94,0.00,0.94,0.63,1.57,True,0.00,0.67,0.14,0.12,0.38,0.18,610,60.98
shoulder.stp_shoulder_to_upper_arm,revolute,rad,rad/s,-1.75,1.75,3.49,1000000.00,1000000.00,0.00,1.67,1.67,1.75,0.07,True,0.00,0.98,0.12,0.08,0.34,0.18,610,60.98
upper_arm.stp_upper_arm_to_lower_arm,revolute,rad,rad/s,-1.57,1.57,3.14,1000000.00,1000000.00,-1.05,0.00,1.05,0.52,1.57,True,0.00,0.50,0.10,0.08,0.28,0.14,610,60.98
lower_arm.stp_lower_arm_to_slider,prismatic,m,m/s,-0.49,0.34,0.83,1000000.00,1000000.00,0.00,0.31,0.31,0.49,0.03,True,0.00,0.29,0.02,0.01,0.07,0.04,610,60.98
slider.stp_slider_to_upper_wrist,revolute,rad,rad/s,-3.14,3.14,6.28,1000000.00,1000000.00,-0.74,0.57,1.31,2.40,2.58,True,0.00,0.70,0.13,0.09,0.38,0.18,610,60.98
upper_wrist.stp_upper_wrist_to_lower_wrist,revolute,rad,rad/s,-1.92,1.92,3.84,1000000.00,1000000.00,-0.80,0.57,1.37,1.12,1.35,True,0.00,0.67,0.09,0.07,0.24,0.13,610,60.98
