ジョイント名,ジョイントタイプ,ジョイント位置単位,ジョイント速度単位,ジョイント位置下限,ジョイント位置上限,ジョイント可動範囲,ジョイント速度上限,ジョイント努力上限,経路内最小ジョイント位置,経路内最大ジョイント位置,経路内ジョイント位置範囲,下限までの最小余裕,上限までの最小余裕,経路はジョイント位置制限内,経路で必要な最小ジョイント速度,経路で必要な最大ジョイント速度,経路で必要な平均ジョイント速度,経路で必要な中央値ジョイント速度,経路で必要な95パーセンタイルジョイント速度,経路で必要な実効ジョイント速度,セグメント数,経路時間_秒
base.stp_base_to_shoulder,回転,rad,rad/s,-1.57,1.57,3.14,1000000.00,1000000.00,-0.94,0.00,0.94,0.63,1.57,True,0.00,0.67,0.14,0.12,0.38,0.18,610,60.98
shoulder.stp_shoulder_to_upper_arm,回転,rad,rad/s,-1.75,1.75,3.49,1000000.00,1000000.00,0.00,1.67,1.67,1.75,0.07,True,0.00,0.98,0.12,0.08,0.34,0.18,610,60.98
upper_arm.stp_upper_arm_to_lower_arm,回転,rad,rad/s,-1.57,1.57,3.14,1000000.00,1000000.00,-1.05,0.00,1.05,0.52,1.57,True,0.00,0.50,0.10,0.08,0.28,0.14,610,60.98
lower_arm.stp_lower_arm_to_slider,直動,m,m/s,-0.49,0.34,0.83,1000000.00,1000000.00,0.00,0.31,0.31,0.49,0.03,True,0.00,0.29,0.02,0.01,0.07,0.04,610,60.98
slider.stp_slider_to_upper_wrist,回転,rad,rad/s,-3.14,3.14,6.28,1000000.00,1000000.00,-0.74,0.57,1.31,2.40,2.58,True,0.00,0.70,0.13,0.09,0.38,0.18,610,60.98
upper_wrist.stp_upper_wrist_to_lower_wrist,回転,rad,rad/s,-1.92,1.92,3.84,1000000.00,1000000.00,-0.80,0.57,1.37,1.12,1.35,True,0.00,0.67,0.09,0.07,0.24,0.13,610,60.98
